"nome_mun","CD_GEOCODI","cod_rgi","nome_rgi","cod_rgint","nome_rgint"
"Brasília","5300108","530001","Distrito Federal","5301","Distrito Federal"
"Vila Propício","5222302","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Vila Boa","5222203","520022","Flores de Goiás","5206","Luziânia - Águas Lindas de Goiás"
"Vicentinópolis","5222054","520009","Piracanjuba","5202","Itumbiara"
"Vianópolis","5222005","520002","Anápolis","5201","Goiânia"
"Varjão","5221908","520001","Goiânia","5201","Goiânia"
"Valparaíso de Goiás","5221858","520019","Luziânia","5206","Luziânia - Águas Lindas de Goiás"
"Urutaí","5221809","520006","Pires do Rio","5201","Goiânia"
"Uruana","5221700","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Uruaçu","5221601","520017","Uruaçu - Niquelândia","5205","Porangatu - Uruaçu"
"Uirapuru","5221577","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Turvelândia","5221551","520010","Rio Verde","5203","Rio Verde"
"Turvânia","5221502","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"Trombas","5221452","520016","Porangatu","5205","Porangatu - Uruaçu"
"Trindade","5221403","520001","Goiânia","5201","Goiânia"
"Três Ranchos","5221304","520004","Catalão","5201","Goiânia"
"Terezópolis de Goiás","5221197","520001","Goiânia","5201","Goiânia"
"Teresina de Goiás","5221080","520022","Flores de Goiás","5206","Luziânia - Águas Lindas de Goiás"
"Taquaral de Goiás","5221007","520003","Inhumas - Itaberaí - Anicuns","5201","Goiânia"
"Sítio d'Abadia","5220702","520021","Posse-Campos Belos","5206","Luziânia - Águas Lindas de Goiás"
"Simolândia","5220686","520021","Posse-Campos Belos","5206","Luziânia - Águas Lindas de Goiás"
"Silvânia","5220603","520002","Anápolis","5201","Goiânia"
"Serranópolis","5220504","520011","Jataí-Mineiros","5203","Rio Verde"
"Senador Canedo","5220454","520001","Goiânia","5201","Goiânia"
"São Simão","5220405","520012","Quirinópolis","5203","Rio Verde"
"São Patrício","5220280","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"São Miguel do Passa Quatro","5220264","520002","Anápolis","5201","Goiânia"
"São Miguel do Araguaia","5220207","520016","Porangatu","5205","Porangatu - Uruaçu"
"São Luíz do Norte","5220157","520017","Uruaçu - Niquelândia","5205","Porangatu - Uruaçu"
"São Luís de Montes Belos","5220108","520013","São Luís de Montes Belos","5204","São Luís de Montes Belos - Iporá"
"São João da Paraúna","5220058","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"São João d'Aliança","5220009","520022","Flores de Goiás","5206","Luziânia - Águas Lindas de Goiás"
"São Francisco de Goiás","5219902","520002","Anápolis","5201","Goiânia"
"São Domingos","5219803","520021","Posse-Campos Belos","5206","Luziânia - Águas Lindas de Goiás"
"Santo Antônio do Descoberto","5219753","520019","Luziânia","5206","Luziânia - Águas Lindas de Goiás"
"Santo Antônio de Goiás","5219738","520001","Goiânia","5201","Goiânia"
"Santo Antônio da Barra","5219712","520010","Rio Verde","5203","Rio Verde"
"Santa Terezinha de Goiás","5219704","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Santa Tereza de Goiás","5219605","520016","Porangatu","5205","Porangatu - Uruaçu"
"Santa Rosa de Goiás","5219506","520002","Anápolis","5201","Goiânia"
"Santa Rita do Novo Destino","5219456","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Santa Rita do Araguaia","5219407","520011","Jataí-Mineiros","5203","Rio Verde"
"Santa Isabel","5219357","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Santa Helena de Goiás","5219308","520010","Rio Verde","5203","Rio Verde"
"Santa Fé de Goiás","5219258","520005","Goiás - Itapuranga","5201","Goiânia"
"Santa Cruz de Goiás","5219209","520006","Pires do Rio","5201","Goiânia"
"Santa Bárbara de Goiás","5219100","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"Sanclerlândia","5219001","520013","São Luís de Montes Belos","5204","São Luís de Montes Belos - Iporá"
"Rubiataba","5218904","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Rio Verde","5218805","520010","Rio Verde","5203","Rio Verde"
"Rio Quente","5218789","520008","Caldas Novas-Morrinhos","5202","Itumbiara"
"Rianápolis","5218706","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Rialma","5218607","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Quirinópolis","5218508","520012","Quirinópolis","5203","Rio Verde"
"Professor Jamil","5218391","520009","Piracanjuba","5202","Itumbiara"
"Posse","5218300","520021","Posse-Campos Belos","5206","Luziânia - Águas Lindas de Goiás"
"Portelândia","5218102","520011","Jataí-Mineiros","5203","Rio Verde"
"Porteirão","5218052","520010","Rio Verde","5203","Rio Verde"
"Porangatu","5218003","520016","Porangatu","5205","Porangatu - Uruaçu"
"Pontalina","5217708","520009","Piracanjuba","5202","Itumbiara"
"Planaltina","5217609","520020","Águas Lindas de Goiás","5206","Luziânia - Águas Lindas de Goiás"
"Pires do Rio","5217401","520006","Pires do Rio","5201","Goiânia"
"Pirenópolis","5217302","520002","Anápolis","5201","Goiânia"
"Piranhas","5217203","520014","Iporá","5204","São Luís de Montes Belos - Iporá"
"Piracanjuba","5217104","520009","Piracanjuba","5202","Itumbiara"
"Pilar de Goiás","5216908","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Petrolina de Goiás","5216809","520002","Anápolis","5201","Goiânia"
"Perolândia","5216452","520011","Jataí-Mineiros","5203","Rio Verde"
"Paraúna","5216403","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"Paranaiguara","5216304","520012","Quirinópolis","5203","Rio Verde"
"Panamá","5216007","520007","Itumbiara","5202","Itumbiara"
"Palminópolis","5215900","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"Palmelo","5215801","520006","Pires do Rio","5201","Goiânia"
"Palmeiras de Goiás","5215702","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
"Palestina de Goiás","5215652","520014","Iporá","5204","São Luís de Montes Belos - Iporá"
"Padre Bernardo","5215603","520020","Águas Lindas de Goiás","5206","Luziânia - Águas Lindas de Goiás"
"Ouvidor","5215504","520004","Catalão","5201","Goiânia"
"Ouro Verde de Goiás","5215405","520002","Anápolis","5201","Goiânia"
"Orizona","5215306","520006","Pires do Rio","5201","Goiânia"
"Novo Planalto","5215256","520016","Porangatu","5205","Porangatu - Uruaçu"
"Novo Gama","5215231","520019","Luziânia","5206","Luziânia - Águas Lindas de Goiás"
"Novo Brasil","5215207","520005","Goiás - Itapuranga","5201","Goiânia"
"Nova Veneza","5215009","520001","Goiânia","5201","Goiânia"
"Nova Roma","5214903","520021","Posse-Campos Belos","5206","Luziânia - Águas Lindas de Goiás"
"Nova Iguaçu de Goiás","5214879","520017","Uruaçu - Niquelândia","5205","Porangatu - Uruaçu"
"Nova Glória","5214861","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Nova Crixás","5214838","520005","Goiás - Itapuranga","5201","Goiânia"
"Nova Aurora","5214804","520004","Catalão","5201","Goiânia"
"Nova América","5214705","520018","Ceres - Rialma - Goianésia","5205","Porangatu - Uruaçu"
"Niquelândia","5214606","520017","Uruaçu - Niquelândia","5205","Porangatu - Uruaçu"
"Nerópolis","5214507","520001","Goiânia","5201","Goiânia"
"Nazário","5214408","520015","Palmeiras de Goiás","5204","São Luís de Montes Belos - Iporá"
